periode_pengujian,nama_lokasi,parameter,satuan,nilai,indeks_pencemaran
Periode 1, Bangka ,Zat Padat Terlarut,(mg/L),239,1.61
Periode 1, Bangka ,Kekeruhan,NTU,9.1,1.61
Periode 1, Bangka ,Besi (Fe),(mg/L),0.28,1.61
Periode 1, Bangka ,Fluorida,(mg/L),0.05,1.61
Periode 1, Bangka ,Total Hardness,(mg/L),240.91,1.61
Periode 1, Bangka ,Chlorida,(mg/L),23.37,1.61
Periode 1, Bangka ,Mangan (Mn),(mg/L),0.05,1.61
Periode 1, Bangka ,Nitrat,(mg/L),0.1,1.61
Periode 1, Bangka ,Nitrit,(mg/L),0.004,1.61
Periode 1, Bangka ,Ph,(mg/L),7.9,1.61
Periode 1, Bangka ,Seng (Zn),(mg/L),0.02,1.61
Periode 1, Bangka ,Sulfat,(mg/L),23.43,1.61
Periode 1, Bangka ,Senyawa Aktif Biru Metilen,(mg/L),0.03,1.61
Periode 1, Bangka ,Organik (KMnO4),(mg/L),0.89,1.61
Periode 1, Bangka ,Suhu,(Celcius),26.9,1.61
Periode 1, Bangka ,Bakteri Koli,(Jlm/100mL),100,1.61
Periode 1, Tegal Parang ,Zat Padat Terlarut,(mg/L),376,4.82
Periode 1, Tegal Parang ,Kekeruhan,NTU,1.2,4.82
Periode 1, Tegal Parang ,Besi (Fe),(mg/L),0.08,4.82
Periode 1, Tegal Parang ,Fluorida,(mg/L),0.11,4.82
Periode 1, Tegal Parang ,Total Hardness,(mg/L),304.55,4.82
Periode 1, Tegal Parang ,Chlorida,(mg/L),57.17,4.82
Periode 1, Tegal Parang ,Mangan (Mn),(mg/L),2.03,4.82
Periode 1, Tegal Parang ,Nitrat,(mg/L),3.37,4.82
Periode 1, Tegal Parang ,Nitrit,(mg/L),0.003,4.82
Periode 1, Tegal Parang ,Ph,(mg/L),8.3,4.82
Periode 1, Tegal Parang ,Seng (Zn),(mg/L),0.02,4.82
Periode 1, Tegal Parang ,Sulfat,(mg/L),45.11,4.82
Periode 1, Tegal Parang ,Senyawa Aktif Biru Metilen,(mg/L),0.03,4.82
Periode 1, Tegal Parang ,Organik (KMnO4),(mg/L),2.22,4.82
Periode 1, Tegal Parang ,Suhu,(Celcius),23.2,4.82
Periode 1, Tegal Parang ,Bakteri Koli,(Jlm/100mL),"7,6 x 104",4.82
